loss,C_acc,val_loss,val_C_acc
0.3064902126789093,0.9075859785079956,0.11802146583795547,0.9619647860527039
0.09535464644432068,0.9698853492736816,0.07120956480503082,0.9775025844573975
0.0649992823600769,0.9798787832260132,0.036110103130340576,0.988804817199707
0.048426393419504166,0.9853876233100891,0.032419536262750626,0.9904417991638184
0.03712834045290947,0.9890451431274414,0.021655051037669182,0.9934508800506592
0.02839108556509018,0.9918527603149414,0.020301908254623413,0.9942813515663147
0.021536920219659805,0.9939552545547485,0.012861696071922779,0.9964795708656311
0.01613050326704979,0.9955669045448303,0.009167679585516453,0.9975010752677917
0.011813647113740444,0.9968195557594299,0.006837968248873949,0.9983525276184082
0.008438893593847752,0.9977517127990723,0.004429576452821493,0.9988650679588318
0.006149630527943373,0.998400866985321,0.003532369388267398,0.999090850353241
0.004385790787637234,0.998866856098175,0.002795520471408963,0.9993070960044861
0.0032718705479055643,0.9991578459739685,0.0022345073521137238,0.9994034767150879
0.0027369994204491377,0.9993005394935608,0.0019352937815710902,0.9994950294494629
0.002471370855346322,0.9993711113929749,0.0017739725299179554,0.9995346069335938
0.002330048708245158,0.999404788017273,0.001722069806419313,0.9995417594909668
0.0021781993564218283,0.9994373917579651,0.0016849016537889838,0.99955153465271
0.002059894846752286,0.9994668960571289,0.0016658861422911286,0.9995560646057129
0.0020277875009924173,0.9994677901268005,0.0016476233722642064,0.9995576739311218
0.0019560614600777626,0.9994895458221436,0.0015700346557423472,0.999584972858429
